V01146.1	EMBL	region	1	39937	.	+	.	ID=id0;Dbxref=taxon:10760;gb-acronym=T7;gbkey=Src;mol_type=genomic DNA	2259123
V01146.1	EMBL	promoter	224	224	.	+	.	ID=id1;Note=E. coli promoter A0 (leftward);gbkey=promoter	1184
V01146.1	EMBL	promoter	405	405	.	+	.	ID=id2;Note=T7 promoter phiOL;gbkey=promoter	873
V01146.1	EMBL	promoter	498	498	.	+	.	ID=id3;Note=E. coli promoter A1;gbkey=promoter	737
V01146.1	EMBL	promoter	626	626	.	+	.	ID=id4;Note=E. coli promoter A2;gbkey=promoter	2364
V01146.1	EMBL	promoter	750	750	.	+	.	ID=id5;Note=E. coli promoter A3;gbkey=promoter	4644
V01146.1	EMBL	sequence_secondary_structure	890	890	.	+	.	ID=id6;Note=RNase III site R0.3;gbkey=misc_structure	11
V01146.1	EMBL	mRNA	891	1468	.	+	.	ID=rna0;gbkey=mRNA;product=0.3 mRNA	11146
V01146.1	EMBL	exon	891	1468	.	+	.	ID=id7;Parent=rna0;gbkey=mRNA;product=0.3 mRNA	11146
V01146.1	EMBL	CDS	925	1278	.	+	0	ID=cds0;Parent=rna0;Dbxref=InterPro:IPR014798,PDB:1S7Z,UniProtKB/Swiss-Prot:P03775,NCBI_GP:CAA24384.1;Name=CAA24384.1;Note=gene 0.3%2C inhibits EcoB and EcoK host restriction;gbkey=CDS;product=CAA24384.1;protein_id=CAA24384.1;transl_table=11	7910
V01146.1	EMBL	CDS	1278	1433	.	+	0	ID=cds1;Parent=rna0;Dbxref=UniProtKB/Swiss-Prot:P03776,NCBI_GP:CAA24385.1;Name=CAA24385.1;Note=gene 0.4;gbkey=CDS;product=CAA24385.1;protein_id=CAA24385.1;transl_table=11	5357
V01146.1	EMBL	sequence_secondary_structure	1468	1468	.	+	.	ID=id8;Note=RNase III site R0.5;gbkey=misc_structure	37
V01146.1	EMBL	mRNA	1469	3138	.	+	.	ID=rna1;gbkey=mRNA;product=0.7 mRNA	5072
V01146.1	EMBL	exon	1469	3138	.	+	.	ID=id9;Parent=rna1;gbkey=mRNA;product=0.7 mRNA	5072
V01146.1	EMBL	CDS	1496	1639	.	+	0	ID=cds2;Parent=rna1;Dbxref=UniProtKB/Swiss-Prot:P03777,NCBI_GP:CAA24386.1;Name=CAA24386.1;Note=gene 0.5;gbkey=CDS;product=CAA24386.1;protein_id=CAA24386.1;transl_table=11	168
V01146.1	EMBL	CDS	1636	1797	.	+	0	ID=cds3;Parent=rna1;Dbxref=UniProtKB/Swiss-Prot:P03778,NCBI_GP:CAA24387.1;Name=CAA24387.1;Note=gene 0.6A;gbkey=CDS;product=CAA24387.1;protein_id=CAA24387.1;transl_table=11	852
V01146.1	EMBL	CDS	2021	3100	.	+	0	ID=cds4;Parent=rna1;Dbxref=GOA:P00513,InterPro:IPR014374,UniProtKB/Swiss-Prot:P00513,NCBI_GP:CAA24389.1;Name=CAA24389.1;Note=gene 0.7%2C protein kinase;gbkey=CDS;product=CAA24389.1;protein_id=CAA24389.1;transl_table=11	3395
V01146.1	EMBL	promoter	1514	1514	.	+	.	ID=id10;Note=E. coli B promoter;gbkey=promoter	25
V01146.1	EMBL	CDS	1636	1794	.	+	0	ID=cds5;Dbxref=UniProtKB/Swiss-Prot:P03778,NCBI_GP:CAA24388.1;Name=CAA24388.1;Note=possible gene 0.6B;gbkey=CDS;product=CAA24388.1;protein_id=CAA24388.1;transl_table=11	852
V01146.1	EMBL	CDS	1796	1972	.	+	0	ID=cds5;Dbxref=UniProtKB/Swiss-Prot:P03778,NCBI_GP:CAA24388.1;Name=CAA24388.1;Note=possible gene 0.6B;gbkey=CDS;product=CAA24388.1;protein_id=CAA24388.1;transl_table=11	958
V01146.1	EMBL	promoter	3113	3113	.	+	.	ID=id11;Note=E. coli C promoter;gbkey=promoter	8
V01146.1	EMBL	sequence_secondary_structure	3138	3138	.	+	.	ID=id12;Note=RNase III site R1;gbkey=misc_structure	19
V01146.1	EMBL	mRNA	3139	5887	.	+	.	ID=rna2;gbkey=mRNA;product=1 mRNA	19542
V01146.1	EMBL	exon	3139	5887	.	+	.	ID=id13;Parent=rna2;gbkey=mRNA;product=1 mRNA	19542
V01146.1	EMBL	CDS	3171	5822	.	+	0	ID=cds6;Parent=rna2;Dbxref=GOA:P00573,InterPro:IPR002092,PDB:1ARO,PDB:1CEZ,PDB:1H38,PDB:1MSW,PDB:1QLN,PDB:1S0V,PDB:1S76,PDB:1S77,PDB:2PI4,PDB:2PI5,PDB:3E2E,PDB:3E3J,PDB:4RNP,UniProtKB/Swiss-Prot:P00573,NCBI_GP:CAA24390.1;Name=CAA24390.1;Note=gene 1%2C T7 RNA polymerase;gbkey=CDS;product=CAA24390.1;protein_id=CAA24390.1;transl_table=11	19515
V01146.1	EMBL	promoter	5848	5848	.	+	.	ID=id14;Note=T7 promoter phi1.1A;gbkey=promoter	1393
V01146.1	EMBL	sequence_secondary_structure	5887	5887	.	+	.	ID=id15;Note=RNase III site R1.1;gbkey=misc_structure	9
