"Accession","gene","protein_desc","protein_id","location","rep","strain","time","area","total_area","n_area","tabasco_id","class","Ribosome","coli Pol","coli Pol-P","coli Pol-2.0","coli Pol-P-2.0","sim_count","sim_count2"
"NP_041959.1 ","[gene=T7p03","protein kinase","NP_041959.1","2021..3100]",1,"11-42",60,NA,3.16593e+11,NA,"gp0.7",1,9605.73,1715.69,0,0,0,0,0
"NP_041960.1 ","[gene=T7p07","T3/T7-like RNA polymerase","NP_041960.1","3171..5822]",1,"11-42",60,NA,3.16593e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041963.1 ","[gene=T7p10","ATP-dependent DNA ligase","NP_041963.1","6475..7554]",1,"11-42",60,2.71679e+06,3.16593e+11,8.58133e-06,"gp1.3",2,9605.73,1715.69,0,0,0,0,0
"NP_041966.1 ","[gene=T7p13","hypothetical protein","NP_041966.1","7906..8166]",1,"11-42",60,NA,3.16593e+11,NA,"gp1.6",2,9605.73,1715.69,0,0,0,0,0
"NP_041967.1 ","[gene=T7p14","hypothetical protein","NP_041967.1","8166..8756]",1,"11-42",60,NA,3.16593e+11,NA,"gp1.7",2,9605.73,1715.69,0,0,0,0,0
"NP_041968.1 ","[gene=T7p15","hypothetical protein","NP_041968.1","8749..8895]",1,"11-42",60,NA,3.16593e+11,NA,"gp1.8",2,9605.73,1715.69,0,0,0,0,0
"NP_041970.1 ","[gene=T7p17","single-stranded DNA-binding protein","NP_041970.1","9158..9856]",1,"11-42",60,NA,3.16593e+11,NA,"gp2.5",2,9605.73,1715.69,0,0,0,0,0
"NP_041971.1 ","[gene=T7p18","hypothetical protein","NP_041971.1","9857..10276]",1,"11-42",60,NA,3.16593e+11,NA,"gp2.8",2,9605.73,1715.69,0,0,0,0,0
"NP_041972.1 ","[gene=T7p19","endonuclease I","NP_041972.1","10257..10706]",1,"11-42",60,NA,3.16593e+11,NA,"gp3",2,NA,NA,NA,NA,NA,NA,NA
"NP_041973.1 ","[gene=T7p20","lysozyme","NP_041973.1","10706..11161]",1,"11-42",60,NA,3.16593e+11,NA,"gp3.5",2,9605.73,1715.69,0,0,0,0,0
"NP_041977.1 ","[gene=T7p24","helicase","NP_041977.1","11754..13265]",1,"11-42",60,4.76941e+07,3.16593e+11,0.000150648,"gp4",2,NA,NA,NA,NA,NA,NA,NA
"NP_041979.1 ","[gene=T7p26","hypothetical protein","NP_041979.1","13352..13564]",1,"11-42",60,NA,3.16593e+11,NA,"gp4.3",2,9605.73,1715.69,0,0,0,0,0
"NP_041980.1 ","[gene=T7p27","hypothetical protein","NP_041980.1","13584..13853]",1,"11-42",60,NA,3.16593e+11,NA,"gp4.5",2,9605.73,1715.69,0,0,0,0,0
"NP_041981.1 ","[gene=T7p28","hypothetical protein","NP_041981.1","13927..14334]",1,"11-42",60,NA,3.16593e+11,NA,"gp4.7",2,9605.73,1715.69,0,0,0,0,0
"NP_041982.1 ","[gene=T7p29","DNA polymerase","NP_041982.1","14353..16467]",1,"11-42",60,NA,3.16593e+11,NA,"gp5",2,NA,NA,NA,NA,NA,NA,NA
"NP_041984.1 ","[gene=T7p31","hypothetical protein","NP_041984.1","join(16851..17147,17147..17359)]",1,"11-42",60,NA,3.16593e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041987.1 ","[gene=T7p34","host recBCD nuclease inhibitor","NP_041987.1","17359..17517]",1,"11-42",60,NA,3.16593e+11,NA,"gp5.9",2,9605.73,1715.69,0,0,0,0,0
"NP_041988.1 ","[gene=T7p35","exonuclease","NP_041988.1","17504..18406]",1,"11-42",60,NA,3.16593e+11,NA,"gp6",2,NA,NA,NA,NA,NA,NA,NA
"NP_041990.1 ","[gene=T7p37","hypothetical protein","NP_041990.1","18605..18859]",1,"11-42",60,NA,3.16593e+11,NA,"gp6.5",3,9605.73,1715.69,0,0,0,0,0
"NP_041992.1 ","[gene=T7p39","hypothetical protein","NP_041992.1","19130..19531]",1,"11-42",60,NA,3.16593e+11,NA,"gp7",3,9605.73,1715.69,0,0,0,0,0
"NP_041993.1 ","[gene=T7p40","tail assembly protein","NP_041993.1","19535..19834]",1,"11-42",60,NA,3.16593e+11,NA,"gp7.3",3,9605.73,1715.69,0,0,0,0,0
"NP_041994.1 ","[gene=T7p41","hypothetical protein","NP_041994.1","19848..20240]",1,"11-42",60,NA,3.16593e+11,NA,"gp7.7",3,9605.73,1715.69,0,0,0,0,0
"NP_041995.1 ","[gene=T7p42","head-tail connector protein","NP_041995.1","20240..21850]",1,"11-42",60,NA,3.16593e+11,NA,"gp8",3,9605.73,1715.69,0,0,0,0,0
"NP_041996.1 ","[gene=T7p43","capsid assembly protein","NP_041996.1","21950..22873]",1,"11-42",60,NA,3.16593e+11,NA,"gp9",3,9605.73,1715.69,0,0,0,0,0
"NP_041997.1 ","[gene=T7p44","major capsid protein","NP_041997.1","join(22967..23989,23989..24162)]",1,"11-42",60,NA,3.16593e+11,NA,"gp10B",3,NA,NA,NA,NA,NA,NA,NA
"NP_041998.1 ","[gene=T7p45","major capsid protein","NP_041998.1","22967..24004]",1,"11-42",60,NA,3.16593e+11,NA,"gp10A",3,9605.73,1715.69,0,0,0,0,0
"NP_041999.1 ","[gene=T7p46","tail tubular protein A","NP_041999.1","24228..24818]",1,"11-42",60,NA,3.16593e+11,NA,"gp11",3,9605.73,1715.69,0,0,0,0,0
"NP_042000.1 ","[gene=T7p47","tail tubular protein B","NP_042000.1","24842..27226]",1,"11-42",60,NA,3.16593e+11,NA,"gp12",3,9605.73,1715.69,0,0,0,0,0
"NP_042001.1 ","[gene=T7p48","internal virion protein A","NP_042001.1","27307..27723]",1,"11-42",60,NA,3.16593e+11,NA,"gp13",3,9605.73,1715.69,0,0,0,0,0
"NP_042002.1 ","[gene=T7p49","internal virion protein B","NP_042002.1","27728..28318]",1,"11-42",60,NA,3.16593e+11,NA,"gp14",3,9605.73,1715.69,0,0,0,0,0
"NP_042003.1 ","[gene=T7p50","internal virion protein C","NP_042003.1","28325..30568]",1,"11-42",60,NA,3.16593e+11,NA,"gp15",3,9605.73,1715.69,0,0,0,0,0
"NP_042004.1 ","[gene=T7p51","internal virion protein D","NP_042004.1","30595..34551]",1,"11-42",60,NA,3.16593e+11,NA,"gp16",3,9605.73,1715.69,0,0,0,0,0
"NP_042005.1 ","[gene=T7p52","tail fiber protein","NP_042005.1","34624..36285]",1,"11-42",60,NA,3.16593e+11,NA,"gp17",3,9605.73,1715.69,0,0,0,0,0
"NP_042006.1 ","[gene=T7p53","type II holin","NP_042006.1","36344..36547]",1,"11-42",60,NA,3.16593e+11,NA,"gp17.5",3,9605.73,1715.69,0,0,0,0,0
"NP_042007.1 ","[gene=T7p54","DNA packaging protein, small subunit","NP_042007.1","36553..36822]",1,"11-42",60,NA,3.16593e+11,NA,"gp18",3,9605.73,1715.69,0,0,0,0,0
